0	6.5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
0	0	4	0	0	0	0	0	0	4.6	0	0	0	0	0	0	0	0
0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
9.5	0	0	0	0	0	0	0	0	0	0	0	9.6	0	0	0	0	0
0	0	0	0	0	0	0	0	4.5	2.75	3.5	0	0	0	0	0	0	0
0	0	0	0	0	10.75	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
4	0	0	0	0	0	4.5	0	0	0	0	0	17.5	0	3.5	0	0	0
0	2.1	0	0	0	0	2.75	0	6.5	0	0	0	0	0	0	3.2	0	0
0	0	3	0	0	0	3.5	0	0	4	0	3	0	0	0	0	4.5	0
0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	4.5
0	0	0	0	19.1	0	0	0	8	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	20	0	0	0	0	0	0	8	15	18	0
0	0	0	0	0	0	0	0	3.5	0	0	0	0	8	0	0	0	0
0	0	0	0	0	0	0	0	0	3.2	0	0	0	15	0	0	0	0
0	0	0	0	0	0	0	0	0	0	4.5	0	0	18	0	0	0	24
0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	24	0
