0	0.65	0	0	0	0	0	0	4.3	0	0	0	0	0	0	0	0	0
0	0	0.4	0	0	0	0	0	0	2.35	0	0	0	0	0	0	0	0
0	0	0	0.2	0	0	0	0	0	0	3.2	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	0	0	0	0
0.95	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
0	0	0	0	0	0	0	0	9	5.5	7	0	0	0	0	0	0	0
0	0	0	0	0	21.5	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
4	0	0	0	0	0	9	0	0	0	0	0	10.95	0	3.5	0	0	0
0	2.1	0	0	0	0	5.5	0	0.65	0	0	0	0	0	0	3.2	0	0
0	0	3	0	0	0	7	0	0	0.4	0	3	0	0	0	0	4.5	0
0	0	0	3	0	0	0	0	0	0	3.2	0	0	0	0	0	0	4.5
0	0	0	0	12.95	0	0	0	10	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	20	0	0	0	0	0	0	8	15	18	0
0	0	0	0	0	0	0	0	3.5	0	0	0	0	8	0	0	0	0
0	0	0	0	0	0	0	0	0	3.2	0	0	0	15	0	0	0	0
0	0	0	0	0	0	0	0	0	0	4.5	0	0	18	0	0	0	24
0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	24	0
